3912,5,7,104.99,12.5,2.9485,402,3330,3924
3762,5,8,107.19,11.5,3.1765,-150,3654,3828
3126,5,8,109.41,9.9,3.0348,-636,3852,3534
3924,5,8,106.98,11.6,3.7691,798,3318,3420
3828,5,8,107.5,10.2,3.8285,-96,3168,3174
3534,5,8,108.44,10.6,2.9497,-294,3006,3174
3174,5,9,110.33,10.6,2.9149,0,3006,2952
3012,5,9,112.97,9.5,2.8877,-162,2760,2706
2706,5,9,111.44,8.7,2.786,-246,2748,2556
2520,5,10,111.39,9.2,2.6803,-186,2562,2556
2628,5,10,111.17,9.8,2.2904,108,2538,2784
2556,5,10,111.65,9.7,2.1297,0,2814,2562
2784,5,10,108.75,11,1.8103,228,2820,2454
2454,5,11,110.3,9.6,2.1194,-108,2862,2748
2520,5,11,108.49,10,1.8358,66,2976,2634
2694,5,11,108.43,10.6,2.3985,174,3090,3132
2748,5,11,108.71,11.8,2.0511,54,3102,2832
3132,5,12,109.87,10.1,2.0686,498,3204,2958
2832,5,12,109.72,9.9,2.1867,-300,2784,3174
3156,5,12,108.39,11.6,2.2446,324,2970,3054
2958,5,12,111.12,10.4,2.1783,-198,3312,3090
3174,5,12,110.61,12,1.889,216,3690,3444
3054,5,12,107.97,11.1,2.1593,-120,2952,3618
3090,5,13,110.96,11,2.5734,36,3216,3030
3444,5,13,110.45,11.3,2.4554,354,3288,3444
3618,5,13,108.61,11.4,2.4045,174,3666,2892
3030,5,13,110.82,10.4,2.2348,-588,3528,3270
3444,5,13,108.92,11.6,2.5626,414,3474,3228
2892,5,13,111.62,10.2,2.3445,-552,3150,3324
3270,5,14,109.45,11.1,2.2037,378,4014,3264
3228,5,14,108.86,11.3,2.1813,-42,3294,3840
3324,5,14,108.58,11.7,2.0759,96,3546,3690
3264,5,14,108.01,10.9,2.4188,-60,3744,3576
3840,5,14,104.88,12.2,2.1823,576,3930,4110
3690,5,14,106.33,11.4,2.4528,-150,3012,4098
4110,5,15,106.41,11.9,2.7204,534,3960,4146
4098,5,15,107.04,12.2,2.7709,-12,4098,3804
3810,5,15,108.46,10.6,3.1742,-288,4266,4284
4146,5,15,107.73,12.2,2.7126,336,4572,3954
3804,5,15,107.52,10.8,3.9869,-342,4080,3864
4284,5,16,100.83,12.7,2.8362,480,4296,4158
3954,5,16,110.04,10.2,3.419,-330,4320,4080
3864,5,16,104.52,11.5,3.2897,-90,4086,4092
4158,5,16,100.38,12.6,3.9453,294,3804,3852
4080,5,16,98.136,12.4,3.8874,-78,3840,4050
4092,5,16,102.57,13.1,3.5732,12,4014,3660
3852,5,17,105.67,11.3,4.2565,-240,3864,3486
4050,5,17,106.86,11.3,4.8121,198,3882,3678
3660,5,17,104.26,11.1,3.8362,-390,3366,3828
3486,5,17,104.99,9.9,4.7446,-174,3570,3612
3678,5,17,89.455,11.4,4.8304,192,3756,3630
3612,5,18,93.851,11.6,4.7808,-216,3666,3660
3630,5,18,98.663,10.1,4.4932,18,3342,3732
