3912,3510,3162,3246,2832,2658,2550,2040,1716,1656,5,7,104.99,12.5,2.9485,402,3330
3762,3912,3510,3162,3246,2832,2658,2550,2040,1716,5,8,107.19,11.5,3.1765,-150,3654
3126,3762,3912,3510,3162,3246,2832,2658,2550,2040,5,8,109.41,9.9,3.0348,-636,3852
3924,3126,3762,3912,3510,3162,3246,2832,2658,2550,5,8,106.98,11.6,3.7691,798,3318
3828,3924,3126,3762,3912,3510,3162,3246,2832,2658,5,8,107.5,10.2,3.8285,-96,3168
3534,3828,3924,3126,3762,3912,3510,3162,3246,2832,5,8,108.44,10.6,2.9497,-294,3006
3174,3174,3420,3534,3828,3924,3126,3762,3912,3510,5,9,110.33,10.6,2.9149,0,3006
3012,3174,3174,3420,3534,3828,3924,3126,3762,3912,5,9,112.97,9.5,2.8877,-162,2760
2958,3156,2832,3132,2634,2748,2694,2520,2454,2562,5,12,111.12,10.4,2.1783,-198,3312
3174,2958,3156,2832,3132,2634,2748,2694,2520,2454,5,12,110.61,12,1.889,216,3690
3054,3174,2958,3156,2832,3132,2634,2748,2694,2520,5,12,107.97,11.1,2.1593,-120,2952
3090,3054,3174,2958,3156,2832,3132,2634,2748,2694,5,13,110.96,11,2.5734,36,3216
3444,3090,3054,3174,2958,3156,2832,3132,2634,2748,5,13,110.45,11.3,2.4554,354,3288
3618,3444,3090,3054,3174,2958,3156,2832,3132,2634,5,13,108.61,11.4,2.4045,174,3666
3030,3618,3444,3090,3054,3174,2958,3156,2832,3132,5,13,110.82,10.4,2.2348,-588,3528
3444,3030,3618,3444,3090,3054,3174,2958,3156,2832,5,13,108.92,11.6,2.5626,414,3474
2892,3444,3030,3618,3444,3090,3054,3174,2958,3156,5,13,111.62,10.2,2.3445,-552,3150
3270,2892,3444,3030,3618,3444,3090,3054,3174,2958,5,14,109.45,11.1,2.2037,378,4014
3228,3270,2892,3444,3030,3618,3444,3090,3054,3174,5,14,108.86,11.3,2.1813,-42,3294
3324,3228,3270,2892,3444,3030,3618,3444,3090,3054,5,14,108.58,11.7,2.0759,96,3546
3264,3324,3228,3270,2892,3444,3030,3618,3444,3090,5,14,108.01,10.9,2.4188,-60,3744
3840,3264,3324,3228,3270,2892,3444,3030,3618,3444,5,14,104.88,12.2,2.1823,576,3930
3690,3840,3264,3324,3228,3270,2892,3444,3030,3618,5,14,106.33,11.4,2.4528,-150,3012
4110,3576,3690,3840,3264,3324,3228,3270,2892,3444,5,15,106.41,11.9,2.7204,534,3960
4098,4110,3576,3690,3840,3264,3324,3228,3270,2892,5,15,107.04,12.2,2.7709,-12,4098
3810,4098,4110,3576,3690,3840,3264,3324,3228,3270,5,15,108.46,10.6,3.1742,-288,4266
4146,3810,4098,4110,3576,3690,3840,3264,3324,3228,5,15,107.73,12.2,2.7126,336,4572
3804,4146,3810,4098,4110,3576,3690,3840,3264,3324,5,15,107.52,10.8,3.9869,-342,4080
4284,3804,4146,3810,4098,4110,3576,3690,3840,3264,5,16,100.83,12.7,2.8362,480,4296
3954,4284,3804,4146,3810,4098,4110,3576,3690,3840,5,16,110.04,10.2,3.419,-330,4320
3864,3954,4284,3804,4146,3810,4098,4110,3576,3690,5,16,104.52,11.5,3.2897,-90,4086
4158,3864,3954,4284,3804,4146,3810,4098,4110,3576,5,16,100.38,12.6,3.9453,294,3804
4080,4158,3864,3954,4284,3804,4146,3810,4098,4110,5,16,98.136,12.4,3.8874,-78,3840
4092,4080,4158,3864,3954,4284,3804,4146,3810,4098,5,16,102.57,13.1,3.5732,12,4014
3852,4092,4080,4158,3864,3954,4284,3804,4146,3810,5,17,105.67,11.3,4.2565,-240,3864
4050,3852,4092,4080,4158,3864,3954,4284,3804,4146,5,17,106.86,11.3,4.8121,198,3882
3660,4050,3852,4092,4080,4158,3864,3954,4284,3804,5,17,104.26,11.1,3.8362,-390,3366
3486,3660,4050,3852,4092,4080,4158,3864,3954,4284,5,17,104.99,9.9,4.7446,-174,3570
3678,3486,3660,4050,3852,4092,4080,4158,3864,3954,5,17,89.455,11.4,4.8304,192,3756
3612,3828,3678,3486,3660,4050,3852,4092,4080,4158,5,18,93.851,11.6,4.7808,-216,3666
3630,3612,3828,3678,3486,3660,4050,3852,4092,4080,5,18,98.663,10.1,4.4932,18,3342
2556,2850,3372,3402,3174,3594,4050,3600,3732,3660,5,20,111.46,8.1,3.9458,-294,2094
2538,2556,2850,3372,3402,3174,3594,4050,3600,3732,5,20,112.6,7.7,4.0277,-18,2016
